y,n,p,m,log_n,r_2y_minus_log_n,K_center,K_tail_low,K_tail_high,term_center,term_tail_low,term_tail_high
5.00000000000000000000E-1,2,2,1,6.931471805599453094172321214582E-1,3.068528194400546905827678785418E-1,4.825839256813649484787108776672E-1,4.820139378864524721926089551141E-1,4.831542655012492509647672257662E-1,2.365284115280890786226528019870E-1,2.362490439392687611064711782698E-1,2.368079516545820645980334428051E-1
5.00000000000000000000E-1,3,3,1,1.098612288668109691395245236923E+0,-9.861228866810969139524523692253E-2,9.259494448329973573799451288081E-1,9.255997069882521846777665806490E-1,9.262989193596930109800538074051E-1,5.873150108147114120560505102933E-1,5.870931776604122897218261010256E-1,5.875366769505583240618047886118E-1
5.00000000000000000000E-1,4,2,2,1.386294361119890618834464242916E+0,-3.862943611198906188344642429164E-1,3.071938659061255743720383692580E-1,3.066967391691378135166367601565E-1,3.076914585441649316372083649551E-1,1.064652810190704254488699323042E-1,1.062929900210084094908708303839E-1,1.066377334861326083893878220183E-1
5.00000000000000000000E-1,5,5,1,1.609437912434100374600759333226E+0,-6.094379124341003746007593332262E-1,2.795739994881286760835643191106E-2,2.784554509795816783993743226716E-2,2.806959725077711149249593283546E-2,2.012268851549565119901208981751E-2,2.004217958666759969374656097314E-2,2.020344392779576229861451969927E-2
5.00000000000000000000E-1,7,7,1,1.945910149055313305105352743443E+0,-9.459101490553133051053527434432E-1,2.899137144251337009128924825892E-11,2.718703216177686568846387405023E-11,3.090427934416798064158456760353E-11,2.132271604254414321353007755050E-11,1.999565173984838156549009790113E-11,2.272963092697446462316536563805E-11
1.00000000000000000000E+0,3,3,1,1.098612288668109691395245236923E+0,9.013877113318903086047547630775E-1,7.608247435488470517795676062394E-8,7.385031764695173771641169712024E-8,7.837457204324710635495629107042E-8,4.825790381742527179725190047858E-8,4.684208230754119023048080706220E-8,4.971174493816997291240155039543E-8
1.00000000000000000000E+0,4,2,2,1.386294361119890618834464242916E+0,6.137056388801093811655357570836E-1,2.604903124315820717515406233484E-2,2.594284149029243610907074275571E-2,2.615555308489059083782460113349E-2,9.027906281256519228391586696515E-3,8.991103717354885934888281595364E-3,9.064823938388946456434930814852E-3
1.00000000000000000000E+0,5,5,1,1.609437912434100374600759333226E+0,3.905620875658996253992406667738E-1,2.985502529214241473329524771854E-1,2.980587943382626409470389768442E-1,2.990421828555425550874855538626E-1,2.148852810618879083368529255690E-1,2.145315475957811741362874258793E-1,2.152393537887450904632242705852E-1
1.00000000000000000000E+0,7,7,1,1.945910149055313305105352743443E+0,5.408985094468669489464725655682E-2,9.769508391424175942235929045135E-1,9.767454783016986077800707740828E-1,9.771557964369905910241711238294E-1,7.185325941501252414133089833064E-1,7.183815543519014197585434918491E-1,7.186833371462506158672287943485E-1
1.00000000000000000000E+0,8,2,3,2.079441541679835928251696364375E+0,-7.944154167983592825169636437453E-2,9.511287328305086030146308811676E-1,9.508374276213334335424263138479E-1,9.514197088195173700487522004412E-1,2.330879214610065484156957490536E-1,2.330165328851243563091397001408E-1,2.331592293567014630072191528026E-1
1.00000000000000000000E+0,9,3,2,2.197224577336219382790490473845E+0,-1.972245773362193827904904738451E-1,7.393212156085647114582576991795E-1,7.387764143698455916056335614390E-1,7.398661065493798151226739704949E-1,2.707424575802047530844706809134E-1,2.705429491349586086051006791593E-1,2.709419988747258865978152101669E-1
1.00000000000000000000E+0,11,11,1,2.397895272798370544061943577965E+0,-3.978952727983705440619435779651E-1,2.839342504979148985568617921275E-1,2.834529181212341885013377898255E-1,2.844160633851280555086910824188E-1,2.052823699064075318164060278901E-1,2.049343701465179603991242186474E-1,2.056307170718696705100750673458E-1
1.00000000000000000000E+0,13,13,1,2.564949357461536736053487441565E+0,-5.649493574615367360534874415653E-1,5.435433467958831531408081966629E-2,5.417414348865874732765267106827E-2,5.453496947033720316661469659917E-2,3.866707339884336121516467601336E-2,3.853888737565733744937644969598E-2,3.879557499404170870593529368473E-2
