y,n,p,m,log_n,r_2y_minus_log_n,K_center,K_tail_low,K_tail_high,term_center,term_tail_low,term_tail_high
1.00000000000000000000E+0,9,3,2,2.197224577336219382790490473845E+0,-1.972245773362193827904904738451E-1,7.393212278377810019686749292962E-1,7.392871854582914272721088771848E-1,7.393552705667183221054363059896E-1,2.707424620585938522627973752040E-1,2.707299955997796022717318832607E-1,2.707549286453772980498508598375E-1
1.00000000000000000000E+0,11,11,1,2.397895272798370544061943577965E+0,-3.978952727983705440619435779651E-1,2.839342675330903260911347044804E-1,2.839041741499608867550433714057E-1,2.839643627923729471423480509738E-1,2.052823822227137801931422237362E-1,2.052606249285638862343420424183E-1,2.053041408733085932644938865630E-1
1.00000000000000000000E+0,13,13,1,2.564949357461536736053487441565E+0,-5.649493574615367360534874415653E-1,5.435434766842806432474505688588E-2,5.434307348800697748925752871415E-2,5.436562358134581448130897442067E-2,3.866708263896050921175110659788E-2,3.865906231152160716193927418679E-2,3.867510419887840376120341857565E-2
1.00000000000000000000E+0,16,2,4,2.772588722239781237668928485833E+0,-7.725887222397812376689284858327E-1,4.556660382791458405171985580366E-4,4.553983191327832528051544985211E-4,4.559338893452481290968853493426E-4,7.896090742752751323959164393882E-5,7.891451523465672748700341685913E-5,7.900732248034720745675226547629E-5
1.00000000000000000000E+0,17,17,1,2.833213344056216080249534617873E+0,-8.332133440562160802495346178731E-1,2.483080349654065775557779543115E-5,2.480808420025972927596599915080E-5,2.485354074486264300103417994202E-5,1.706261497957570167365923424567E-5,1.704700329769426779433333378493E-5,1.707823899729494651245707078375E-5
1.00000000000000000000E+0,19,19,1,2.944438979166440460009027431888E+0,-9.444389791664404600090274318879E-1,4.238377007670295440515134627355E-11,4.221993916968414682112357477456E-11,4.254818002883355372759998446018E-11,2.863026335648468984316156876649E-11,2.851959547570410652698168779895E-11,2.874132238260264830521262686832E-11
1.25000000000000000000E+0,5,5,1,1.609437912434100374600759333226E+0,8.905620875658996253992406667738E-1,2.604148130506775305496798305133E-7,2.599933147177611439502061364824E-7,2.608369171699109102618251162351E-7,1.874368209287762502678982793989E-7,1.871334422283747028801984365026E-7,1.877406356514612045692149664316E-7
1.25000000000000000000E+0,7,7,1,1.945910149055313305105352743443E+0,5.540898509446866948946472565568E-1,6.279758973945552736460439894434E-2,6.278513028676069461022441718748E-2,6.281005100736682880052084421323E-2,4.618667926164550005480533336879E-2,4.617751552227621141240166323814E-2,4.619584433607909892463214450637E-2
1.25000000000000000000E+0,8,2,3,2.079441541679835928251696364375E+0,4.205584583201640717483036356255E-1,2.407917858759887119140165579108E-1,2.407638313547104802033042884349E-1,2.408197423748729791154518052886E-1,5.900952724631815952244137575450E-2,5.900267658453572166856458963895E-2,5.901637839274170259190065044284E-2
1.25000000000000000000E+0,9,3,2,2.197224577336219382790490473845E+0,3.027754226637806172095095261549E-1,4.921207716678536007773692001699E-1,4.920850228012183700206425203575E-1,4.921565218818434676412902695165E-1,1.802166424210456257624212568201E-1,1.802035510396484851333176358537E-1,1.802297342958495531986291883453E-1
