y,n,p,m,log_n,r_2y_minus_log_n,K_center,K_tail_low,K_tail_high,term_center,term_tail_low,term_tail_high
5.00000000000000000000E-1,2,2,1,6.931471805599453094172321214582E-1,3.068528194400546905827678785418E-1,4.825839408341537643856791351957E-1,4.824414324561790727966586847250E-1,4.827264712009453260520475648167E-1,2.365284189549113951486179075930E-1,2.364585714559003025594445821143E-1,2.365982772312808888037371280679E-1
5.00000000000000000000E-1,3,3,1,1.098612288668109691395245236923E+0,-9.861228866810969139524523692253E-2,9.259494494695202133606510190847E-1,9.258620810671456146379679781785E-1,9.260368014067067144095540080065E-1,5.873150137555841416618212014075E-1,5.872595973670633232381396533626E-1,5.873704197004979363827737908136E-1
5.00000000000000000000E-1,4,2,2,1.386294361119890618834464242916E+0,-3.862943611198906188344642429164E-1,3.071938818474099585578310269203E-1,3.070695702187846764020522165007E-1,3.073182225837314987260231173432E-1,1.064652865438985881502030291714E-1,1.064222034164523734920344557651E-1,1.065083797593035997266589313999E-1
5.00000000000000000000E-1,5,5,1,1.609437912434100374600759333226E+0,-6.094379124341003746007593332262E-1,2.795740921258301659916076593769E-2,2.792941466670026818424348917552E-2,2.798542515915336376588414354014E-2,2.012269518321015714698583416752E-2,2.010254575844380945840057860387E-2,2.014286001138924548991307675047E-2
5.00000000000000000000E-1,7,7,1,1.945910149055313305105352743443E+0,-9.459101490553133051053527434432E-1,2.899419858632770689242272092256E-11,2.853312235916007113629370220934E-11,2.946205944183454568770363120172E-11,2.132479536414105600330074504854E-11,2.098568075946091417433468827404E-11,2.166889996054400687830668810918E-11
1.00000000000000000000E+0,3,3,1,1.098612288668109691395245236923E+0,9.013877113318903086047547630775E-1,7.608403618340985143625842293238E-8,7.552042605204849431488072818408E-8,7.665139248661117639432496405098E-8,4.825889446042663181153230743274E-8,4.790140551516841852334183053671E-8,4.861875954292104302038983105747E-8
1.00000000000000000000E+0,4,2,2,1.386294361119890618834464242916E+0,6.137056388801093811655357570836E-1,2.604904021345119593925744378147E-2,2.602246282816679491014567834012E-2,2.607563835190965575242252170411E-2,9.027909390123166207633300313983E-3,9.018698370284897230861053790753E-3,9.037127602463478442387172963004E-3
1.00000000000000000000E+0,5,5,1,1.609437912434100374600759333226E+0,3.905620875658996253992406667738E-1,2.985502688973702807694732744796E-1,2.984273734098910924316475138077E-1,2.986731938332914601969622142142E-1,2.148852925607750856879403546327E-1,2.147968369955568790775111797786E-1,2.149737693218779789393450416434E-1
1.00000000000000000000E+0,7,7,1,1.945910149055313305105352743443E+0,5.408985094468669489464725655682E-2,9.769508407622756363749346195519E-1,9.768995820421695500066945558180E-1,9.770020742561632396864303283069E-1,7.185325953415063780564321767715E-1,7.184948953266694264954798213571E-1,7.185702768028404500459238583469E-1
1.00000000000000000000E+0,8,2,3,2.079441541679835928251696364375E+0,-7.944154167983592825169636437453E-2,9.511287360642229892040482939647E-1,9.510559831258340682649402533324E-1,9.512014684198471671520448203827E-1,2.330879222534752635940884874972E-1,2.330700930883960122849597556456E-1,2.331057463744488262996332552322E-1
